b1	b2	bw1	bw2	e1	e2	ew1	ew2	first1	first2	gid1	gid2	id1	id2	len1	len2	matches	s1	s2	score	seq1	seq2	tok1	tok2	uid1	uid2	ch_match	align_len	matches_percent	w_match	series_b1	series_b2
1002	111	178	22	1470	456	260	84	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms001	Shamela0011680-ara1.mARkdown.ms001	1702	1580	285	البلدان ومحل الغامر---- منها والعمران من جميع بلاد الاسلام بتفصيل مدنها وتقسيم ما تفرد بالاعمال المجموعة اليها ولم اقصد الاقاليم السبعة التي عليها قسمة الارض لان الصورة الهندية التي بالقواذيان وان كانت صحيحة فكثيرة التخليط وقد جعلت لكل قطعة افردتها تصويرا وشكلا يحكي موضع ذلك الاقليم ثم ذكرت ما يحيط به من الاماكن والبقاع وما في اضعافها من المدن والاصقاع وما لها من القوانين والارتفاع وما فيها من الانهار والبح---------ار وما يحتاج الي معرفته من جوامع ما يشتمل عليه ذلك الاقليم من	الارض علي الممالك وقصدت منها----------------- بلاد الاسلام بتفصيل مدنها وتقسيم ما يعود بالاعمال المجموعة اليها ولم اقصد الاقاليم السبعة التي عليها قسمة الارض بل------------------------------------------------------------------ جعلت -كل قطعة افردتها مفردة مصورة ت-حكي موضع ذلك الاقليم ثم ذكرت ما يحيط به من الاماكن وم--------ا في اضعافه م-ن المدن وال-بقاع المشهورة -----------------------------------------والبحار والانهار وما يحتاج الي معرفته من جوامع ما يشتمل عليه ذلك الاقليم من	472.0	1	1	300	300	740649477553025875	3805604586259351590	231	481	59.25156021118164	45	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
1362	463	235	86	1646	723	289	137	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms002	Shamela0011680-ara1.mARkdown.ms001	1708	1580	239	استقص --ذلك كراهية الاطالة المءدية-- الي ملال قارء--ه ولان الغرض في كتابي هذا تصوير هذه الاقاليم التي لم يذكرها احد علمته ممن شاهدها فاما ذكر مدنها وجبالها وانهارها وبحارها والمسافات فيها وبعض ما انا ذاكره فقد يوجد في الاخبار متفرقا ولا يتعذر علي من اراد تقصي شء من ذلك من سافرة اهل كل بلد	استقصيت ذلك كراه-ة الاطالة التي تءدي الي ملال من قراه ولان الغرض في كتابي هذا تصوير هذه الاقاليم التي لم يذكرها احد علمته ------------اما ذكر مدنها وجبالها وانهارها وبحارها والمسافات وساءر---- ما انا ذاكره فقد يوجد في الاخبار------- ولا يتعذر علي من اراد تقصي شء من ذلك من------ اهل كل بلد	419.5	2	1	300	300	8229655766424640489	3805604586259351590	191	290	82.4137954711914	43	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
91	739	17	140	442	1171	79	221	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms003	Shamela0011680-ara1.mARkdown.ms001	1650	1580	261	ذكر المسافات واستوفيت صور المدن وساءر ما وجب ذكره واتخذت لجميع الارض التي يشتمل عليها البحر المحيط الذي لا يسلك صورة تضاهي صورة القواذيان من جهة وتخالفها في مواضع واعربت عن مكان كل اقليم مما ذكرته- واتصال بعضه ببعض ومقدار----------------------------------------------------------------------------------------------------------------------------------ه كل ناحية في سعتها وصورتها من مقدار الطول والعرض والاستدارة والتربيع والتثليث وساءر ما يكون عليه اشكال تلك الصورة والعمل و------موقع كل	ذكر المسافات و------------المدن وساءر ما ن---ذكره فاتخذت لجميع الارض التي يشتمل عليها البحر المحيط الذي لا يسلك صورة اذا نظر اليها ناظر علم--------------------------------- مكان كل اقليم مما ذكرناه واتصال بعضه ببعض ومقدار كل اقليم من الارض حتي اذا راي كل اقليم من ذلك مفصلا علم موقعه من هذه الصورة ولم تتسع هذه الصورة التي جمعت ساءر الاقاليم لما يستحقه كل اقليم في -------صورته- من مقدار الطول والعرض والاستدارة والتربيع والتثليث وساءر ما يكون عليه اشكال تلك الصورة فاكتفيت ببيان موقع كل	421.5	3	1	300	300	5691051805590256668	3805604586259351590	213	488	53.48360824584961	41	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
417	189	75	38	1705	1119	300	200	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms005	Shamela0011680-ara1.mARkdown.ms002	1705	1700	797	المفازة التي بين فارس وخراسان وجميع ما فيها من الطرق الي النواحي المجاورة لها والمضافة الي حدودها وما يليها من اعمال سجستان علي ما يجاورها من بلاد الغور وجبالها ومصب مياهها الي بحيرة زره وصورت خراسان وما في ضمنها من طخيرستان وجبال الباميان وطوس وقوهستان بجميع مياهها الجارية وجبالها المشهورة ورمالها وطرقها المعروفة ثم صورت نهر جيحون وما وراءه من اعمال بخارا وسمرقند واشروسنه واسبيجاب والشاش وخوارزم الي جميع ما يشتمل عليه من المياه ويحيط به من الطرق والمسالك ظ ما في بطن هذه الورقة صورة جميع الارض ب و ظ ب فهذه جميع الارض عامرها وغامر-----ها وهي مقسومة علي الممالك وعماد ممالك الارض اربع- فاعمرها واكثرها خيرا واحسنها استقامة في السياسة وتقويم العمارات ووفور الجبايات مملكة ايران شهر وقطب-ها اقليم بابل وهي مملكة فارس وكان حد هذه المملكة في ايام العجم معلوما فلما جاء الاسلام اخذت من كل مملكة بنصيب فاخذت من مملكة الروم الشام ومصر والمغرب والاندلس واخذت من مملكة ال-------------------------------------------------------------------------------صين ما وراء النهر وانضمت اليها هذه الممالك العظيمة ومملكة الروم يدخل فيها حدود الصقالبة ومن جاورهم من الروس والسرير واللان والارمن ومن دان بالنصرانية ومملكة الصين يدخل فيها ساءر بلدان الاتراك وبعض التبت ومن دان بدين اهل الاوثان منهم ومملكة الهند يدخل فيها السند وقشمير وطرف من التبت ومن دان بدينهم ولم اذكر بلدان السودان في المغرب والبجة والزنج ومن في اعراضهم من الامم لان انتظام الممالك بالديانات والاداب والحكم وتقويم العمارات	المفازة التي بين فارس وخراسان ثم------------------------------------------------------------------------------------ سجست----------------------------------------------------------------------------ان وما يتصل بها ثم خراسان ثم -------------------------------------------------------------------------------------------------------------ما وراء النهر-------------------------------------------------------------------------------------------------------------------------------------------------------------- فهذه صورة الارض عامرها والخراب منها وهي مقسومة علي الممالك وعماد ممالك الارض اربعة فاعمرها واكثرها خيرا واحسنها استقامة في السياسة وتقويم العمارات فيها ممل----------كة ايران-شهر وقصبتها اقليم بابل وهي مملكة فارس وكان حد هذه المملكة في ايام العجم معلوما فلما جاء الاسلام اخذ- من كل مملكة بنصيب فاخذ- من مملكة الروم الشام ومصر والمغرب والاندلس واخذ- من مملكة الهند ما اتصل بارض المنصورة والملتان الي كابل وطرف اعلي طخارستان واخذ من مملكة الصين ما وراء النهر وانضاف اليه- هذه الممالك العظيمة فمملكة الروم تدخل فيها حدود الصقالبة ومن جاورهم من الروس والسرير واللان والارمن ومن دان بالنصرانية ومملكة الصين تدخل فيها ساءر بلدان الاتراك وبعض التبت ومن دان بدين اهل الاوثان منهم ومملكة الهند تدخل فيها السند وقشمير وطرف من التبت ومن دان بدينهم ولم نذكر بلد-- السودان في المغرب والبجة والزنج ومن في اعراضهم من الامم لان انتظام الممالك بالديانات والاداب والحكم وتقويم العمارات	1450.5	5	2	300	300	2313177090958629029	6727067288918520431	655	1374	58.005821228027344	120	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
1	1119	0	200	607	1700	104	300	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms006	Shamela0011680-ara1.mARkdown.ms002	1693	1700	559	بالسياسة المستقيمة وهءلاء مهملون في هذه الخصال ولا حظ لهم في شء من ذلك فيستحقوا به افراد ممالكهم بما ذكرت- به ساءر الممالك غير ان بعض السودان المقاربين -هذه الممالك المعروفة يرجعون الي ديانة ورياضة وحكم ويقاربون اهل هذه الممالك كالن---وبة والحبشة فانهم نصاري يرتسمون -مذاهب الروم وقد كانوا قبل الاسلام يتصلون بمملكة الروم علي المجاورة لان ارض النوبة مصاقبة -ارض مصر والحبشة علي بحر القلزم وبينهما وبين ارض مصر مفاوز معمورة فيها معادن الذهب ويتصلون بمصر والشام من طريق بحر القلزم فهذه الممالك المعروفة ولما زادت مملكة الاسلام بما اجتمع اليها من -طراءف هذه الممالك المذكورة شرفت وعظمت وقسمة الارض علي الجنوب والشمال	بالسياسة المستقيمة وهءلاء مهملون لهذ--ه الخصال ولا حظ لهم في شء من ذلك فيستحقون به افراد ممالكهم بما ذكرنا به ساءر الممالك غير ان بعض السودان المقاربين لهذه الممالك المعروفة يرجعون الي ديانة ورياضة وحكم ويقاربون اهل هذه الممالك مثل النوبة والحبشة فانهم نصاري يرتسمون بمذاهب الروم وقد كانوا قبل الاسلام يتصلون بمملكة الروم علي المجاورة لان ارض النوبة متاخمة لارض مصر والحبشة علي بحر القلزم وبينه-ا وبين ارض مصر مفاز-------ة فيها مع-دن الذهب ويتصلون بمصر والشام من طريق بحر القلزم فهذه الممالك المعروفة وقد- زادت مملكة الاسلام بما اجتمع اليها من اطرا-ف هذه الممالك-------------------- وقسمة الارض علي الجنوب والشمال	1037.0	6	2	300	300	-6024963517146037613	6727067288918520431	460	614	91.04234313964844	86	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
607	1	104	0	1693	965	300	177	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms006	Shamela0011680-ara1.mARkdown.ms003	1693	1630	938	فاذا اخذت من المشرق من الخليج الذي ياخذ من البحر المحيط بارض الصين الي الخليج الذي ياخذ من هذا البحر المحيط من ارض المغرب بين ارض الاندلس وطنجة فقد قسمت الارض قسمين وخط هذه القسمة ياخذ من بحر الصين حتي يقطع بلد الهند ووسط مملكة الاسلام حتي يمتد علي ارض مصر الي المغرب فما كان في حد الشمال من هذين القسمين فاهله بيض وكلما تباعدوا في الشمال ازدادوا بياضا وهي اقاليم باردة وما كان مما يلي الجنوب من هذين القسمين فا---هله سود وكلما ازدادوا تباعد-ا في الجنوب ازدادوا سوادا واعدل هذه الممالك في------- الخط المستقيم وما قاربه وساذكر كل اقليم من ذلك بما يعرف قربه ومكانه من الاقليم الذي يضامه ويصاقبه ان شاء الله فاما مملكة الاسلام فان شرقيها ارض الهند وبحر فارس وغربيها مملكة السودان السكان علي البحر المحيط المتصلين ببراري اودغست وصحاريها تجاه اوليل وشماليها بلاد الروم وما يتصل بها من الارمن واللان والران والسرير والخزر والروس والبلغار والصقالبة وطاءفة من الترك ومن شمال-ها بعض مملكة الصين وما اتصل بها من بلاد الاتراك وجنوبيها بحر فارس واما مملكة الروم فان شرقيها بلاد الاسلام وغربيها وجنوبيها البحر المحيط وشماليها حدود عمل الصين لاني ضممت- ما بين الاتراك وبلد الروم من الصقالبة وساءر الامم التي تلي	فاذا اخذت من المشرق من الخليج الذي ياخذ من البحر المحيط بارض الصين الي الخليج الذي ياخذ من هذا البحر المحيط من ارض المغرب بار---ض الاندلس------ فقد قسمت الارض قسمين وخط هذه القسمة ياخذ من بحر الصين حتي يقطع بلد الهند ووسط مملكة الاسلام حتي يمتد الي ارض مصر الي المغرب فما كان في حد الشمال من هذين القسمين فاهله بيض وكلما تباعدوا في الشمال ازدادوا بياضا وهي اقاليم باردة وما كان مما يلي الجنوب من هذين القسمين فان اهله سود وكلم--------ا تباعدوا في الجنوب ازدادوا سوادا واعدل هذه الاماكن ما كان في الخط المستقيم وما قاربه وسنذكر كل اقليم من ذلك بما يعرف قربه ومكانه من الاقليم الذي -------يصاقب------------ه فاما مملكة الاسلام فان شرقيها ارض الهند وبحر فارس وغربيها مملكة ال-----------------------------------------------------------------------------------------روم وما يتصل بها من الارمن واللان والران والسرير والخزر والروس و--بلغار والصقالبة وطاءفة من الترك و---شماليها---- مملكة الصين وما اتصل بها من بلاد الاتراك وجنوبيها بحر فارس واما مملكة الروم فان شرقيها بلاد الاسلام وغربيها وجنوبيها البحر المحيط وشماليها حدود عمل الصين لانا ضممنا ما بين الاتراك وبلد الروم من الصقالبة وساءر الامم ال-ي بلد	1754.0	6	3	300	300	-6024963517146037613	-7557722715944438844	764	1099	85.3503189086914	158	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
1	951	0	174	799	1630	147	300	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms007	Shamela0011680-ara1.mARkdown.ms003	1591	1630	602	الروم ظ الي بلد الروم واما مملكة الصين فان شماليها وشرقي-ها البحر المحيط و----جنوبيها -مملكة الاسلام والهند و----غربيها ايضا البحر المحيط لان----- ياجوج وماجوج ومن الي-هم الي البحر المحيط من هذه المملكة واما ارض الهند فان شرقيها بحر فارس وغربيها وجنوبيها بلاد خراس-ان وشماليها مملكة الصين فهذه حدود هذه الممالك التي ذكرت-ها واما البحار فاشهرها اثنان واعظمها بحر فارس ثم بحر الروم وهما خليجان متقابلان ياخذان من البحر المحيط وافسحهما طولا وعرضا بحر فارس والذي يقتري----- بحر فارس من الارض فمن حد الصين الي القلزم فاذا قطعت من القلزم الي الصين علي خط مستقيم كان مقداره نحو ماءتي مرحلة وكذل----ك اذا شءت ان تقطع من القلزم الي اقصي حجر بالمغرب علي خط مستقيم الفيته ماءة وثمانين مرحلة واذا قطعت من القلزم الي ارض العراق في البرية علي خط مستقيم وشققت ارض السماوة الفيته نحو شهر ومن العراق الي نهر بلخ نحو---- شهرين ومن نهر بلخ الي اخر	الامم --الي بلد الروم واما مملكة الصين فان شرقي-ها وشماليها البحر المحيط واما جنوبيها فمملكة الاسلام والهند واما غربيها -فهو البحر المحيط ان جعلنا ياجوج وماجوج وما وراءهم الي البحر------- من هذه المملكة واما ارض الهند فان شرقيها بحر فارس وغربيها وجنوبيها بلاد الاسلام وشماليها مملكة الصين فهذه حدود هذه الممالك التي ذكرناها واما البحار فان اعظ-----------مها بحر فارس وبح--ر الروم وهما خليجان متقابلان ياخذان من البحر المحيط واعظمه-ا طولا وعرضا بحر فارس والذي ينتهي اليه بحر فارس من الارض -من حد الصين الي القلزم فاذا قطعت من القلزم الي الصين علي خط مستقيم كان مقداره---- ماءتي مرحلة و-ذلك انك---------------------------------------------------------------------------------------- اذا قطعت من القلزم الي ارض العراق في البرية كان نحوا من------------------------------- شهر ومن العراق الي نهر بلخ نحوا من شهرين ومن نهر بلخ الي اخر	1050.0	7	3	300	300	-3740061100983562307	-7557722715944438844	485	829	72.61761474609375	96	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
804	1	148	0	1591	691	300	135	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms007	Shamela0011680-ara1.mARkdown.ms004	1591	1538	647	الاسلام في حد فرغانة نيف- وعشرون مرحلة ومن هناك الي ان تقطع ارض الخرلخية كلها وتدخل في عمل التغزغز نيف وثل-ثون مرحلة ومن هذا المكان الي البحر المحيط من اخر عمل الصين نحو--- شهرين واما من اراد قطع هذه المسافة من القلزم الي الصين في البحر طالت المسافة عليه لكثرة المعاطف والتواء الطرق في هذه البحور واما بحر الروم فانه ياخذ من البحر المحيط في الخليج الذي بين المغرب و----الاندلس حتي ينتهي الي الثغور التي كانت تعرف بالشامية ومقداره في المسافة نحو ار--بعة اشهر وهو احسن استقامة واستواء من بحر فارس وذلك انك اذا اخذت من فم هذا الخليج ادتك ريح واحدة الي اكثر هذا البحر وبين---- القلزم الذي هو لسان بحر فارس وبين بحر الروم علي سمت الفرما ثلث- مراحل ويزعم بعض المفسرين في قول الله تعالي بينهما برزخ لا يبغيان انه هذا الموضع ويزعم اهل التاويل غير ذلك غير ان بحر الروم يجاوز الفرما----------- بنيف وعشرين مرحلة وهو مفصل-- في	الاسلام في حد فرغانة نيفا وعشرين مرحلة ومن هناك الي ان تقطع ارض الخزلجية كلها فتدخل في عمل التغزغز نيف وثلاثون مرحلة ومن هذا المكان الي البحر -------من اخر عمل الصين نحو من شهرين فاما من اراد قطع هذه المسافة من القلزم الي الصين في البحر طالت المسافة عليه لكثرة المعاطف والتواء الطرق في هذا البح-ر واما بحر الروم فانه ياخذ من البحر المحيط في الخليج الذي بين المغرب وارض الاندلس حتي ينتهي الي الثغور ----------------الشامية ومقداره في المسافة نحو من سبعة اشهر وهو احسن استقامة واستواء من بحر فارس وذلك انك اذا اخذت من فم هذا الخليج ادتك ريح واحدة الي اخ-ر هذا البحر وبين بحر القلزم الذي هو لسان بحر فارس وبين بحر الروم علي سمت الفرما اربع مراح--------------------------------------------------------------------------------------------ل --------غير ان بحر الروم يجاوز الفرما الي الثغور بنيف وعشرين مرحلة وقد -فصلنا في	1181.0	7	4	300	300	-3740061100983562307	-1622381994127452179	518	816	79.28921508789062	110	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
1	691	0	135	821	1538	159	300	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms008	Shamela0011680-ara1.mARkdown.ms004	1548	1538	771	مسافات المغرب بما يغني عن اعادته ومن مصر الي اقصي المغرب نحو م---اءة وثم-نين مرحلة فكان ما بين اقصي الارض من المغرب الي اقصاها من المشرق نحو---- اربع ماءة مرحلة واما عرضها من اقصاها في حد الشمال الي اقصاها في حد الجنوب فانك تاخذ من ساحل البحر المحيط حتي تنتهي الي ارض ياجوج وماجوج ثم تمر علي ظهر ارض الصقالبة فتقطع ارض البلغار الداخلة والصقالبة وتمضي في بل-د الروم الي ال------------------شام وارض مصر والنوبة ثم تمتد في برية بين بلاد السودان وبلاد الزنج حتي تنتهي الي البحر المحيط فهذا خط ما بين جنوبي الارض وشماليها واما الذي اعلمه من مسافة هذا الخط فان من يا------جوج الي بل------غار وارض الصقالبة فنحو ----اربعين مرحلة ومن ارض الصقالبة في بلد الروم الي الشام نحو---- ستين مرحلة ومن ارض الشام الي ارض مصر نحو ثل-----ثين مرحلة ومنها الي اقصي النوبة نحو---- ثم-نين مرحلة حتي تنتهي الي---- البرية التي لا تسلك فذلك ماءتا مرحلة وعشر مراحل كلها عامرة مسكونة واما ما بين ياجوج وماجوج	مسافات المغرب -ما يغني عن اعادته فمن مصر الي اقصي المغرب نحو من ماءة وثمانين مرحلة فكان ما بين اقصي الارض من المغرب الي اقصاها من المشرق نحوا من اربعم-اءة مرحلة واما عرضها من اقصاها في حد الشمال الي اقصاها في حد الجنوب فانك تاخذ من ساحل البحر المحيط حتي تنتهي الي ارض ياجوج وماجوج ثم تمر علي ظهر---- الصقالبة وتقطع ارض بل--غار الداخلة والصقالبة وتمضي في بلاد الروم الي الشام حتي تخرج من الشام وارض مصر والنوبة ثم تمتد في برية بين بلاد السودان وبلاد الزنج حتي تنتهي الي البحر المحيط وهذا خط ما بين جنوبي الارض وشماليها فاما الذي اعلمه من مسافة هذا الخط فان من ناحية ياجوج الي ناحية بلغار وارض الصقالبة -نحوا من اربعين مرحلة ومن ارض الصقالبة في بلد الروم الي الشام نحوا من ستين مرحلة ومن ارض الشام الي ارض مصر نحوا من ثلاثين مرحلة ومنها الي اقصي النوبة نحوا من ثمانين مرحلة حتي تنتهي الي هذه البرية------------- فذلك ماءتان----- وعشر مراحل كلها عامرة و-------اما ما بين ياجوج وماجوج	1410.5	8	4	300	300	-7886999615881540793	-1622381994127452179	621	881	87.51419067382812	131	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
821	1	159	0	1261	434	242	81	true	false	-7557224393457781396	3014275309081127947	Shamela0011780-ara1.mARkdown.ms008	Shamela0011680-ara1.mARkdown.ms005	1548	1562	362	والبحر المحيط في الشمال وما بين براري السودان والبحر المحيط في الجنوب فقفر خراب ما بلغني ان فيه عمارة ولا حيوانا ولا نباتا ولا يعلم مسافة هاتين البريتين الي شط البحر------- كم هي وذلك ان سلوكهما غير ممكن لفرط البرد الذي يمنع من العمارة ب والحياة في الشمال وفرط الحر المانع من العمارة والحيا-ة في الجنوب وجميع ما بين -------المغرب والصين فمعمور كل--------------------ه والبحر المحيط محتف بالارض كالطوق وماخذ بحر فارس وبحر الروم من البحر المحيط----------- فاما بحر الخزر فليست له مادة من	والبحر المحيط في الشمال وما بين براري السودان والبحر المحيط في الجنوب فقفر خراب ما بلغنا ان فيه عمارة ولا ادري--------------------- مسافة هاتين البريتين الي شط البحر المحيط كم هي وذلك ان سلوكهما غير ممكن لفرط البرد الذي يمنع من العمارة-- والحياة في الشمال وفرط الحر المانع من الحيا-ة والعمارة في الجنوب وام-ا ما بين الصين والمغرب------- فمعمور كله والارض كلها مستديرة والبحر المحيط محتف بها--- كالطوق وياخذ بح----------ر الروم ----وبحر فارس من هذا البحر فاما بحر الخزر فليس---- ياخذ من	624.0	8	5	300	300	-7886999615881540793	-4380783002333758269	289	486	74.485595703125	58	Shamela0011780-ara1.mARkdown	Shamela0011680-ara1.mARkdown
